sentiment,account_days,trades,net_pnl,gross_pnl,avg_daily_account_pnl,median_daily_account_pnl,win_rate,avg_trades_per_account_day,avg_size_usd,total_size_usd,buy_trades,sell_trades,fee_bps,pnl_5pct,negative_account_day_rate,long_short_ratio
Fear,790,83237,3979920.1075184583,4096265.690132,5037.873553820833,104.5533975,0.8422935232428521,105.3632911392405,8529.859802485056,597809051.23,41205,42032,4.933043004606609,-3514.1622524775,0.3848101265822785,0.9803245146555005
Greed,1174,90295,4775171.226179682,4865300.583624,4067.437160289337,235.917359,0.8563066461899026,76.91226575809199,5954.63263265916,413047659.29,42516,47779,2.5252645662443722,-300.8362456044996,0.35093696763202725,0.8898470039138534
Neutral,376,37686,1253546.4072461291,1292920.67555,3333.90001927162,151.366218,0.835721080495226,100.22872340425532,6963.694860853634,180242063.07999998,18969,18717,4.494041917105553,-1186.0691992499999,0.35638297872340424,1.013463696105145
